States,1,2,3,4,5,6,7,8,9
1,0.7921016795279164,0.0817067635043123,0.006354970494779845,0.02088061733999092,0.0013617793917385383,0.0018157058556513845,0.05083976395823876,0.0031774852473899226,0.04176123467998184
2,0.116600790513834,0.5928853754940712,0.039525691699604744,0.029644268774703556,0.007905138339920948,0.009881422924901186,0.11989459815546773,0.003952569169960474,0.07971014492753623
3,0.020356234096692113,0.07888040712468193,0.5928753180661578,0.043256997455470736,0.024173027989821884,0.061068702290076333,0.06361323155216285,0.019083969465648856,0.09669211195928754
4,0.07744565217391304,0.06521739130434782,0.036684782608695655,0.6684782608695652,0.002717391304347826,0.03940217391304348,0.05570652173913043,0.012228260869565218,0.042119565217391304
5,0.008333333333333333,0.044444444444444446,0.05555555555555555,0.016666666666666666,0.7305555555555555,0.022222222222222223,0.05,0.016666666666666666,0.05555555555555555
6,0.017793594306049824,0.046263345195729534,0.08185053380782918,0.0498220640569395,0.017793594306049824,0.6548042704626335,0.04804270462633452,0.037366548042704624,0.046263345195729534
7,0.08472121650977553,0.12816799420709632,0.04779145546705286,0.02389572773352643,0.0166545981173063,0.01448225923244026,0.5995655322230268,0.013758146270818247,0.07096307023895727
8,0.013404825737265416,0.024128686327077747,0.03485254691689008,0.013404825737265416,0.024128686327077747,0.03753351206434316,0.040214477211796246,0.707774798927614,0.10455764075067024
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
