States,1,2,3,4,5,6,7,8,9
1,0.7426246185147508,0.10681586978636826,0.003560528992878942,0.038657171922685654,0.003560528992878942,0.004577822990844354,0.05798575788402848,0.003051881993896236,0.039165818921668365
2,0.12477286493034524,0.5511811023622047,0.04482132041187159,0.028467595396729255,0.015142337976983646,0.021199273167777106,0.11629315566323441,0.012113870381586917,0.08600847970926712
3,0.021897810218978103,0.10097323600973236,0.5523114355231143,0.0340632603406326,0.030413625304136254,0.06204379562043796,0.08394160583941605,0.0267639902676399,0.08759124087591241
4,0.12443778110944528,0.0704647676161919,0.037481259370314844,0.5742128935532234,0.004497751124437781,0.06896551724137931,0.0734632683658171,0.01199400299850075,0.034482758620689655
5,0.011135857461024499,0.066815144766147,0.062360801781737196,0.008908685968819599,0.6414253897550112,0.035634743875278395,0.0801781737193764,0.024498886414253896,0.06904231625835189
6,0.0343213728549142,0.0686427457098284,0.08580343213728549,0.0655226209048362,0.029641185647425898,0.5678627145085804,0.07332293291731669,0.0265210608424337,0.0483619344773791
7,0.08128262490678598,0.15436241610738255,0.05741983594332588,0.02982848620432513,0.03281133482475764,0.02162565249813572,0.5145413870246085,0.030574198359433258,0.07755406413124534
8,0.018433179723502304,0.03456221198156682,0.03686635944700461,0.004608294930875576,0.02304147465437788,0.03225806451612903,0.0944700460829493,0.6451612903225806,0.11059907834101383
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
