States,1,2,3,4,5,6,7,8,9
1,0.7553357626236336,0.0952628839146278,0.01353461738677772,0.02654867256637168,0.002082248828735034,0.006246746486205101,0.058823529411764705,0.0031233732431025507,0.039042165538781884
2,0.11081794195250659,0.5613456464379947,0.06860158311345646,0.027704485488126648,0.010554089709762533,0.011213720316622692,0.11345646437994723,0.011213720316622692,0.08509234828496043
3,0.034161490683229816,0.10973084886128365,0.5445134575569358,0.025879917184265012,0.027950310559006212,0.06832298136645963,0.08592132505175984,0.023809523809523808,0.07971014492753623
4,0.08391608391608392,0.06153846153846154,0.03496503496503497,0.6545454545454545,0.012587412587412588,0.04055944055944056,0.06713286713286713,0.008391608391608392,0.03636363636363636
5,0.008547008547008548,0.049145299145299144,0.06837606837606838,0.010683760683760684,0.6944444444444444,0.014957264957264958,0.07264957264957266,0.019230769230769232,0.06196581196581197
6,0.027496382054992764,0.04630969609261939,0.085383502170767,0.06801736613603473,0.03328509406657019,0.5991316931982634,0.05209840810419682,0.023154848046309694,0.06512301013024602
7,0.09163346613545817,0.12908366533864543,0.06852589641434263,0.02151394422310757,0.028685258964143426,0.027091633466135457,0.5290836653386454,0.026294820717131476,0.07808764940239044
8,0.025056947608200455,0.01366742596810934,0.0387243735763098,0.004555808656036446,0.018223234624145785,0.05466970387243736,0.05239179954441914,0.6810933940774487,0.11161731207289294
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
